2025-06-13 00:00:06.881 [Thread-5] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2025-06-13 00:00:06.885 [Thread-5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2025-06-13 00:00:06.891 [Thread-5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2025-06-13 00:00:07.103 [restartedMain] INFO  com.xichen.tourism.BackendApplication - Starting BackendApplication using Java 18.0.2.1 on LAPTOP-QDS31QG8 with PID 37136 (D:\tourism\tourism-backend\target\classes started by user in D:\tourism\tourism-backend)
2025-06-13 00:00:07.103 [restartedMain] INFO  com.xichen.tourism.BackendApplication - The following profiles are active: dev
2025-06-13 00:00:07.230 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-06-13 00:00:07.230 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-13 00:00:07.238 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-06-13 00:00:07.329 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-06-13 00:00:07.330 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-06-13 00:00:07.330 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-06-13 00:00:07.330 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2025-06-13 00:00:07.361 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-13 00:00:07.361 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 256 ms
2025-06-13 00:00:07.423 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
